"name","html_url","default_branch","language","commit","r_package"
"datavaalit","https://github.com/rOpenGov/datavaalit","master","R","75031f1111538e6d17375f3b6b7602c6971121e1",TRUE
"digitransit","https://github.com/rOpenGov/digitransit","master","R","1743a2a15fd694c2ad6014ce74cf42a1e7b499ee",TRUE
